Problem,Method,Category,N_Points,Result,Exact,Error,RelError,N_Eval,Time_Mean_us,Time_Std_us,RecursionDepth,FOM_Eval,FOM_Time,Difficulty
Exponential,Midpoint_n50,Newton-Cotes,50,1.718253190762678e+00,1.718281828459045e+00,2.864e-05,1.667e-05,50,0.379200,0.265043,0,2.438674e+07,3.215552e+15,Easy
Exponential,Midpoint_n200,Newton-Cotes,200,1.718280038583445e+00,1.718281828459045e+00,1.790e-06,1.042e-06,200,1.082000,0.004050,0,1.560718e+09,2.884875e+17,Easy
Exponential,Trapezium_n50,Newton-Cotes,50,1.718339104138157e+00,1.718281828459045e+00,5.728e-05,3.333e-05,51,0.282400,0.026143,0,5.977084e+06,1.079431e+15,Easy
Exponential,Trapezium_n200,Newton-Cotes,200,1.718285408211364e+00,1.718281828459045e+00,3.580e-06,2.083e-06,201,1.006800,0.002441,0,3.882379e+08,7.750877e+16,Easy
Exponential,Simpson_n50,Newton-Cotes,50,1.718281829986334e+00,1.718281828459045e+00,1.527e-09,8.888e-10,51,0.299600,0.032992,0,8.405957e+15,1.430921e+24,Easy
Exponential,Simpson_n200,Newton-Cotes,200,1.718281828465012e+00,1.718281828459045e+00,5.967e-12,3.473e-12,201,1.058600,0.005625,0,1.397409e+20,2.653308e+28,Easy
Exponential,Simpson38_n51,Newton-Cotes,51,1.718281831633609e+00,1.718281828459045e+00,3.175e-09,1.848e-09,52,0.309600,0.041639,0,1.908221e+15,3.205022e+23,Easy
Exponential,Boole_n100,Newton-Cotes,100,1.718281828459049e+00,1.718281828459045e+00,3.553e-15,2.068e-15,101,0.561400,0.041661,0,7.844373e+26,1.411260e+35,Easy
Exponential,Gauss2_n25,Gaussian,25,1.718281827440856e+00,1.718281828459045e+00,1.018e-09,5.926e-10,50,0.303100,0.018892,0,1.929182e+16,3.182418e+24,Easy
Exponential,Gauss3_n25,Gaussian,25,1.718281828459042e+00,1.718281828459045e+00,3.553e-15,2.068e-15,75,0.468800,0.018893,0,1.056376e+27,1.690021e+35,Easy
Exponential,Gauss5_n25,Gaussian,25,1.718281828459045e+00,1.718281828459045e+00,0.000e+00,0.000e+00,125,0.706100,0.042122,0,1.000000e+20,1.000000e+20,Easy
Exponential,Gauss7_n25,Gaussian,25,1.718281828459045e+00,1.718281828459045e+00,0.000e+00,0.000e+00,175,0.947300,0.029179,0,1.000000e+20,1.000000e+20,Easy
Exponential,Gauss10_n25,Gaussian,25,1.718281828459045e+00,1.718281828459045e+00,0.000e+00,0.000e+00,250,1.307500,0.029108,0,1.000000e+20,1.000000e+20,Easy
Exponential,Gauss5_n50,Gaussian,50,1.718281828459045e+00,1.718281828459045e+00,0.000e+00,0.000e+00,250,1.350000,0.007483,0,1.000000e+20,1.000000e+20,Easy
Exponential,Romberg_k8,Extrapolation,8,1.718281828459045e+00,1.718281828459045e+00,0.000e+00,0.000e+00,129,1.125500,0.070678,0,1.000000e+20,1.000000e+20,Easy
Exponential,ClenshawCurtis_n50,Chebyshev,50,1.681842964121725e+00,1.718281828459045e+00,3.644e-02,2.121e-02,51,14.130200,2.380835,0,1.476727e+01,5.329936e+07,Easy
Exponential,TanhSinh_lv5,DoubleExp,5,1.718281828459044e+00,1.718281828459045e+00,8.882e-16,5.169e-16,199,40.018600,2.733110,0,1.000000e+20,1.000000e+20,Easy
Exponential,MonteCarlo_1e4,Stochastic,10000,1.717760013415155e+00,1.718281828459045e+00,5.218e-04,3.037e-04,10000,61.269200,0.085524,0,3.672542e+02,5.994108e+10,Easy
Exponential,QuasiMC_1e4,Quasi-Random,10000,1.717988605144658e+00,1.718281828459045e+00,2.932e-04,1.706e-04,10000,157.182200,12.544845,0,1.163062e+03,7.399453e+10,Easy
Polynomial_x7,Midpoint_n50,Newton-Cotes,50,1.248833741615000e-01,1.250000000000000e-01,1.166e-04,9.330e-04,50,0.906800,0.362806,0,1.470417e+06,8.107724e+13,Easy
Polynomial_x7,Midpoint_n200,Newton-Cotes,200,1.249927084928373e-01,1.250000000000000e-01,7.292e-06,5.833e-05,200,3.053800,0.009928,0,9.404493e+07,6.159207e+15,Easy
Polynomial_x7,Trapezium_n50,Newton-Cotes,50,1.252332866720000e-01,1.250000000000000e-01,2.333e-04,1.866e-03,51,0.756700,0.034966,0,3.602881e+05,2.428267e+13,Easy
Polynomial_x7,Trapezium_n200,Newton-Cotes,200,1.250145831510429e-01,1.250000000000000e-01,1.458e-05,1.167e-04,201,2.895700,0.010771,0,2.339382e+07,1.623842e+15,Easy
Polynomial_x7,Simpson_n50,Newton-Cotes,50,1.250001865600001e-01,1.250000000000000e-01,1.866e-07,1.492e-06,51,0.774600,0.035029,0,5.633688e+11,3.709244e+19,Easy
Polynomial_x7,Simpson_n200,Newton-Cotes,200,1.250000007291407e-01,1.250000000000000e-01,7.291e-10,5.833e-09,201,2.944400,0.010984,0,9.357962e+15,6.388230e+23,Easy
Polynomial_x7,Simpson38_n51,Newton-Cotes,51,1.250003875888527e-01,1.250000000000000e-01,3.876e-07,3.101e-06,52,0.796400,0.032318,0,1.280130e+11,8.358459e+18,Easy
Polynomial_x7,Boole_n100,Newton-Cotes,100,1.250000000053333e-01,1.250000000000000e-01,5.333e-12,4.267e-11,101,1.506000,0.040937,0,3.480838e+20,2.334427e+28,Easy
Polynomial_x7,Gauss2_n25,Gaussian,25,1.249998756314074e-01,1.250000000000000e-01,1.244e-07,9.949e-07,50,0.789400,0.007088,0,1.293030e+12,8.189954e+19,Easy
Polynomial_x7,Gauss3_n25,Gaussian,25,1.249999999948800e-01,1.250000000000000e-01,5.120e-12,4.096e-11,75,1.206200,0.017798,0,5.086315e+20,3.162607e+28,Easy
Polynomial_x7,Gauss5_n25,Gaussian,25,1.250000000000000e-01,1.250000000000000e-01,2.776e-17,2.220e-16,125,1.934000,0.011384,0,1.000000e+20,1.000000e+20,Easy
Polynomial_x7,Gauss7_n25,Gaussian,25,1.250000000000000e-01,1.250000000000000e-01,2.776e-17,2.220e-16,175,2.657400,0.021195,0,1.000000e+20,1.000000e+20,Easy
Polynomial_x7,Gauss10_n25,Gaussian,25,1.250000000000000e-01,1.250000000000000e-01,0.000e+00,0.000e+00,250,3.752000,0.017658,0,1.000000e+20,1.000000e+20,Easy
Polynomial_x7,Gauss5_n50,Gaussian,50,1.250000000000000e-01,1.250000000000000e-01,2.776e-17,2.220e-16,250,3.827000,0.012174,0,1.000000e+20,1.000000e+20,Easy
Polynomial_x7,Romberg_k8,Extrapolation,8,1.250000000000000e-01,1.250000000000000e-01,2.776e-17,2.220e-16,129,2.313800,0.042482,0,1.000000e+20,1.000000e+20,Easy
Polynomial_x7,ClenshawCurtis_n50,Chebyshev,50,1.152000800320128e-01,1.250000000000000e-01,9.800e-03,7.840e-02,51,13.573900,0.177175,0,2.041666e+02,7.670970e+08,Easy
Polynomial_x7,TanhSinh_lv5,DoubleExp,5,1.249999999999995e-01,1.250000000000000e-01,4.718e-16,3.775e-15,199,40.354900,0.198485,0,1.000000e+20,1.000000e+20,Easy
Polynomial_x7,MonteCarlo_1e4,Stochastic,10000,1.258346839061348e-01,1.250000000000000e-01,8.347e-04,6.677e-03,10000,167.583200,0.821362,0,1.435344e+02,8.564962e+09,Easy
Polynomial_x7,QuasiMC_1e4,Quasi-Random,10000,1.248314797569158e-01,1.250000000000000e-01,1.685e-04,1.348e-03,10000,336.899200,44.461248,0,3.521242e+03,1.045191e+11,Easy
Sin_10x,Midpoint_n50,Newton-Cotes,50,-1.855546040940592e-15,0.000000000000000e+00,1.856e-15,1.856e-15,50,0.826200,0.548091,0,5.808801e+27,3.515372e+35,Medium
Sin_10x,Midpoint_n200,Newton-Cotes,200,-5.763702692959263e-16,0.000000000000000e+00,5.764e-16,5.764e-16,200,2.654500,0.215269,0,1.000000e+20,1.000000e+20,Medium
Sin_10x,Trapezium_n50,Newton-Cotes,50,-2.608925636510457e-15,0.000000000000000e+00,2.609e-15,2.609e-15,51,0.659800,0.098129,0,2.880756e+27,2.226713e+35,Medium
Sin_10x,Trapezium_n200,Newton-Cotes,200,-5.231802747012947e-16,0.000000000000000e+00,5.232e-16,5.232e-16,201,2.487800,0.181461,0,1.000000e+20,1.000000e+20,Medium
